"x" "y" "z"
"715" 20016 706 11
"716" 20044 270 8
"717" 20050 14 8
"718" 20013 898 8
"719" 20032 657 9
"720" 20012 983 10
"721" 20044 563 12
"722" 20046 194 11
"723" 20040 537 7
"724" 20056 113 1
"725" 20056 138 7
"726" 20048 612 10
"727" 20051 280 11
"728" 20050 239 1
"729" 20051 387 8
"730" 20051 403 1
"731" 20063 85 8
"732" 20045 722 7
"733" 20042 669 7
"734" 20042 817 8
"735" 20065 221 9
"736" 20063 251 1
"737" 20055 511 11
"738" 20068 382 4
"739" 20059 426 1
"740" 20065 409 12
"741" 20068 471 1
"742" 20049 844 7
"743" 20036 786 10
"744" 20056 861 8
"745" 20076 162 10
"746" 20077 50 8
"747" 20066 368 12
"748" 20049 946 9
"749" 20040 973 12
"750" 20073 286 10
"751" 20065 663 6
"752" 20064 694 10
"753" 20065 776 8
"754" 20076 439 1
"755" 20076 457 5
"756" 20058 996 10
"757" 20066 492 1
"758" 20076 582 10
"759" 20063 910 10
"760" 20089 202 11
"761" 20069 746 12
"762" 20096 5 1
"763" 20085 109 10
"764" 20082 255 12
"765" 20087 328 8
"766" 20083 316 5
"767" 20093 379 1
"768" 20066 545 10
"769" 20066 578 1
"770" 20074 405 1
"771" 20088 716 6
"772" 20066 968 12
"773" 20095 276 11
"774" 20109 86 11
"775" 20097 593 8
"776" 20110 119 9
"777" 20105 401 12
"778" 20105 417 8
"779" 20089 920 8
"780" 20085 671 6
"781" 20112 648 10
"782" 20119 53 8
"783" 20117 179 10
"784" 20114 267 8
"785" 20110 694 0
"786" 20123 28 10
"787" 20082 792 12
"788" 20110 817 10
"789" 20116 239 1
"790" 20114 318 10
"791" 20115 663 8
"792" 20109 601 10
"793" 20094 562 9
"794" 20124 365 6
"795" 20123 348 11
"796" 20117 510 12
"797" 20108 866 10
"798" 20117 759 8
"799" 20109 954 7
"800" 20094 981 12
"801" 18808 1836 9
"802" 18813 1955 4
"803" 18819 1894 7
"804" 18815 1846 4
"805" 18822 1828 9
"806" 18816 1860 7
"807" 18816 1871 3
"808" 18831 1863 7
"809" 18830 1743 7
"810" 18842 1831 3
"811" 18839 1691 6
"812" 18857 1315 6
"813" 18833 1762 6
"814" 18842 2002 7
"815" 18848 1731 10
"816" 18850 1610 8
"817" 18856 1533 11
"818" 18836 1843 8
"819" 18851 1652 3
"820" 18859 1507 12
"821" 18862 1474 7
"822" 18858 1674 7
"823" 18860 1576 10
"824" 18870 1391 12
"825" 18870 1500 6
"826" 18860 1613 3
"827" 18873 1449 4
"828" 18855 1718 4
"829" 18859 1779 7
"830" 18865 1559 6
"831" 18879 1377 7
"832" 18883 1232 3
"833" 18864 1954 11
"834" 18863 1523 6
"835" 18877 1253 2
"836" 18871 1662 3
"837" 18868 1686 10
"838" 18878 1417 7
"839" 18866 1816 7
"840" 18863 1884 11
"841" 18875 1468 10
"842" 18877 1352 12
"843" 18890 1582 6
"844" 18888 1632 7
"845" 18869 1846 10
"846" 18886 1656 7
"847" 18886 1673 3
"848" 18880 1886 3
"849" 18885 1429 4
"850" 18878 1832 12
"851" 18885 1561 11
"852" 18869 1990 11
"853" 18901 1399 11
"854" 18896 1901 11
"855" 18907 1309 8
"856" 18867 1640 8
"857" 18904 1665 10
"858" 18908 1282 7
"859" 18894 1521 4
"860" 18884 1749 11
"861" 18908 1368 7
"862" 18903 1357 12
"863" 18892 2011 11
"864" 18908 1417 3
"865" 18925 1228 8
"866" 18908 1487 7
"867" 18906 1683 6
"868" 18905 1591 12
"869" 18922 1349 12
"870" 18918 1289 3
"871" 18903 1622 12
"872" 18919 1421 3
"873" 18919 1441 10
"874" 18905 1862 11
"875" 18909 1721 8
"876" 18926 1325 3
"877" 18909 1817 14
"878" 18921 1503 12
"879" 18931 1253 4
"880" 18930 1660 7
"881" 18926 1581 8
"882" 18926 1714 11
"883" 18928 1389 4
"884" 18936 1794 9
"885" 18930 1933 11
"886" 18935 1422 11
"887" 18934 1493 13
"888" 18934 1529 12
"889" 18950 1243 7
"890" 18918 1793 12
"891" 18937 1400 7
"892" 18946 1476 7
"893" 18955 1319 10
"894" 18953 1267 11
"895" 18959 1425 11
"896" 18950 1575 13
"897" 18956 1537 10
"898" 18956 1560 8
"899" 18958 1791 11
"900" 18975 1160 11
"901" 18951 1874 10
"902" 18977 1226 10
"903" 18972 1523 2
"904" 18952 1966 11
"905" 18975 1558 14
"906" 18971 1372 12
"907" 18979 1262 11
"908" 18964 1616 8
"909" 18976 1437 8
"910" 18989 1147 4
"911" 18988 1296 13
"912" 18984 1306 13
"913" 18982 1457 13
"914" 18988 1491 12
"915" 18991 1506 3
"916" 18968 2001 11
"917" 18971 1671 2
"918" 18978 1513 2
"919" 18986 1636 12
"920" 18998 1122 12
"921" 18973 1667 14
"922" 18973 1740 12
"923" 18999 1222 12
"924" 19004 1087 7
"925" 18985 1582 10
"926" 18992 1677 13
"927" 19008 1039 3
"928" 19008 1106 3
"929" 19004 1367 12
"930" 19006 1431 13
"931" 19012 1260 9
"932" 19005 1401 12
"933" 19012 1467 7
"934" 18993 1888 12
"935" 19001 1872 11
"936" 19018 1270 7
"937" 19008 1549 11
"938" 19011 1320 12
"939" 19018 1452 11
"940" 19004 1987 12
"941" 19021 1283 12
"942" 19020 1342 7
"943" 19020 1510 11
"944" 19032 1053 10
"945" 19030 1263 9
"946" 19021 1669 12
"947" 19034 1437 14
"948" 19022 1911 11
"949" 19038 1205 11
"950" 19043 1404 12
"951" 19038 1332 12
"952" 19043 1598 9
"953" 19038 1524 12
"954" 19035 1972 10
"955" 19054 1366 14
"956" 19058 1028 7
"957" 19042 1422 10
"958" 19056 1197 9
"959" 19062 1067 3
"960" 19061 1338 11
"961" 19062 1379 12
"962" 19071 1014 6
"963" 19051 1698 11
"964" 19037 1830 11
"965" 19053 1656 12
"966" 19055 1885 11
"967" 19065 1715 11
"968" 19067 1542 10
"969" 19081 1208 7
"970" 19075 1124 4
"971" 19040 1958 10
"972" 19084 1316 12
"973" 19069 1627 10
"974" 19063 1664 11
"975" 19081 1412 12
"976" 19079 1469 12
"977" 19081 1681 12
"978" 19094 1458 10
"979" 19072 1575 13
"980" 19090 1608 2
"981" 19080 1666 8
"982" 19090 1667 11
"983" 19078 1990 10
"984" 19098 1213 11
"985" 19110 1041 3
"986" 19097 1280 13
"987" 19118 1116 6
"988" 19087 1831 11
"989" 19106 1447 12
"990" 19124 1082 12
"991" 19068 1993 10
"992" 19125 1130 7
"993" 19106 1586 11
"994" 19114 1378 12
"995" 19118 1756 10
"996" 19118 1822 13
"997" 19124 1496 11
"998" 19130 1110 12
"999" 19105 1515 11
"1000" 19116 1474 13
"1001" 19126 1383 10
"1002" 19103 1758 12
"1003" 19132 1037 14
"1004" 19122 1965 12
"1005" 19147 1050 12
"1006" 19146 1093 12
"1007" 19147 1114 10
"1008" 19107 1954 11
"1009" 19142 1176 11
"1010" 19108 1768 11
"1011" 19108 1876 11
"1012" 19151 1071 7
"1013" 19129 1462 14
"1014" 19142 1479 8
"1015" 19153 1027 7
"1016" 19133 1841 11
"1017" 19105 2007 2
"1018" 19147 1142 8
"1019" 19150 1524 12
"1020" 19162 1180 10
"1021" 19127 1438 12
"1022" 19134 1651 13
"1023" 19165 1145 13
"1024" 19146 1514 3
"1025" 19163 1214 10
"1026" 19159 1618 11
"1027" 19146 1567 11
"1028" 19156 1641 9
"1029" 19172 1048 12
"1030" 19172 1067 12
"1031" 19166 1112 11
"1032" 19151 1952 11
"1033" 19178 1271 10
"1034" 19155 1749 13
"1035" 19173 1334 10
"1036" 19146 2005 11
"1037" 19188 1195 11
"1038" 19164 1714 13
"1039" 19197 1146 11
"1040" 19186 1846 11
"1041" 19191 1298 11
"1042" 19190 1420 11
"1043" 19203 1010 12
"1044" 19206 1065 10
"1045" 19195 1273 13
"1046" 19199 1232 11
"1047" 19183 1592 13
"1048" 19208 1183 10
"1049" 19201 1384 11
"1050" 19190 1689 11
"1051" 19199 1613 11
"1052" 19194 1750 11
"1053" 19218 1035 8
"1054" 19201 1999 11
"1055" 19214 1441 13
"1056" 19217 1431 13
"1057" 19225 1138 11
"1058" 19222 1187 13
"1059" 19215 1486 11
"1060" 19232 1016 7
"1061" 19231 1082 7
"1062" 19235 1036 13
"1063" 19238 1301 12
"1064" 19236 1215 7
"1065" 19223 1643 9
"1066" 19217 1920 12
"1067" 19243 1169 10
"1068" 19237 1186 13
"1069" 19245 1098 11
"1070" 19220 1595 14
"1071" 19228 1616 9
"1072" 19241 1472 13
"1073" 19241 1493 12
"1074" 19228 1666 12
"1075" 19226 1841 11
"1076" 19241 1614 12
"1077" 19209 1939 13
"1078" 19236 1580 10
"1079" 19248 1068 12
"1080" 19256 1040 8
"1081" 19258 1024 12
"1082" 19224 1704 11
"1083" 19258 1235 12
"1084" 19235 2007 10
"1085" 19252 1385 11
"1086" 19253 1140 12
"1087" 19244 1781 11
"1088" 19255 1653 12
"1089" 19239 1794 13
"1090" 19239 1808 11
"1091" 19257 1805 11
"1092" 19261 1407 8
"1093" 19253 1738 8
"1094" 19269 1665 12
"1095" 19230 1745 13
"1096" 19255 1766 10
"1097" 19251 1955 11
"1098" 19271 1339 11
"1099" 19230 1891 11
"1100" 19283 1071 12
"1101" 19281 1166 7
"1102" 19278 1014 12
"1103" 19263 1860 11
"1104" 19275 1098 7
"1105" 19250 1858 12
"1106" 19263 1915 11
"1107" 19273 1974 13
"1108" 19268 1756 13
"1109" 19287 1130 12
"1110" 19274 1605 10
"1111" 19277 1475 12
"1112" 19267 1729 12
"1113" 19295 1209 14
"1114" 19275 1695 12
"1115" 19271 1820 12
"1116" 19292 1314 11
"1117" 19289 1363 12
"1118" 19283 1761 11
"1119" 19271 1991 10
"1120" 19277 1891 4
"1121" 19284 1944 13
"1122" 19301 1390 13
"1123" 19288 1640 11
"1124" 19295 1675 2
"1125" 19275 1858 12
"1126" 19300 1971 11
"1127" 19301 1828 11
"1128" 19305 1496 11
"1129" 19311 1177 11
"1130" 19297 1896 10
"1131" 19322 1054 7
"1132" 19296 1935 3
"1133" 19325 1065 11
"1134" 19280 2005 8
"1135" 19315 1380 12
"1136" 19319 1592 10
"1137" 19325 1295 11
"1138" 19305 1793 2
"1139" 19316 1335 12
"1140" 19320 1360 12
"1141" 19324 1208 11
"1142" 19323 1745 11
"1143" 19315 1871 12
"1144" 19329 1635 2
"1145" 19332 1460 12
"1146" 19321 1700 11
"1147" 19316 1522 11
"1148" 19337 1248 11
"1149" 19344 1086 9
"1150" 19325 1768 13
"1151" 19324 1550 13
"1152" 19321 1980 2
"1153" 19351 1031 12
"1154" 19316 1667 2
"1155" 19348 1110 11
"1156" 19339 1683 3
"1157" 19334 1820 11
"1158" 19348 1301 3
"1159" 19348 1345 3
"1160" 19349 1154 12
"1161" 19347 1172 3
"1162" 19353 1206 11
"1163" 19326 1849 13
"1164" 19343 1620 2
"1165" 19354 1558 3
"1166" 19364 1152 10
"1167" 19371 1066 11
"1168" 19357 1288 2
"1169" 19338 1951 10
"1170" 19350 1778 12
"1171" 19353 1659 12
"1172" 19351 1517 11
"1173" 19366 1322 11
"1174" 19371 1335 11
"1175" 19369 1542 12
"1176" 19349 1732 8
"1177" 19361 1683 12
"1178" 19377 1127 11
"1179" 19361 1965 11
"1180" 19369 1805 13
"1181" 19374 1150 3
"1182" 19356 1996 12
"1183" 19387 1203 13
"1184" 19383 1309 13
"1185" 19394 1384 12
"1186" 19379 1784 12
"1187" 19381 1359 2
"1188" 19400 1119 3
"1189" 19373 1748 3
"1190" 19391 1162 2
"1191" 19399 1401 8
"1192" 19377 1636 11
"1193" 19360 1976 10
"1194" 19381 1831 12
"1195" 19395 1691 3
"1196" 19401 1323 8
"1197" 19400 1412 10
"1198" 19399 1745 13
"1199" 19394 1982 12
"1200" 19390 1555 13
"1201" 19400 1775 11
"1202" 19416 1042 10
"1203" 19417 1131 10
"1204" 19406 1191 12
"1205" 19419 1100 12
"1206" 19390 1720 12
"1207" 19418 1192 12
"1208" 19418 1214 8
"1209" 19393 1513 12
"1210" 19419 1286 11
"1211" 19393 1594 10
"1212" 19419 1348 10
